3084, 264.4, 154.9, 0.0644, no trigger, navigating, null
3102, 265.1, 153.7, 0.0646, no trigger, navigating, null
3120, 265.8, 152.6, 0.0648, no trigger, navigating, null
3138, 266.5, 151.5, 0.065, no trigger, navigating, null
3155, 267.1, 150.4, 0.0652, no trigger, navigating, null
3172, 267.8, 149.3, 0.0654, no trigger, navigating, null
3190, 268.5, 148.2, 0.0656, no trigger, navigating, null
3207, 269.1, 147.2, 0.0658, no trigger, navigating, null
3224, 269.8, 146.1, 0.0659, no trigger, navigating, null
3241, 270.4, 145.1, 0.0661, no trigger, navigating, null
3257, 271, 144.2, 0.0663, no trigger, navigating, null
3274, 271, 144.2, 0.0663, leftTrigger, navigating, null
3291, 271, 144.2, 0.0663, no trigger, navigating, null
3308, 271, 144.2, 0.0663, no trigger, navigating, null
3324, 271, 144.2, 0.0663, no trigger, navigating, null
3341, 271, 144.2, 0.0663, no trigger, navigating, null
3358, 271, 144.2, 0.0663, no trigger, navigating, null
3375, 271, 144.2, 0.0663, no trigger, navigating, null
3392, 271, 144.2, 0.0663, no trigger, navigating, null
3408, 271, 144.2, 0.0663, no trigger, navigating, null
3425, 271, 144.2, 0.0663, no trigger, navigating, null
3442, 271, 144.2, 0.0663, no trigger, navigating, null
3459, 271, 144.2, 0.0663, no trigger, navigating, null
3476, 271, 144.2, 0.0663, no trigger, navigating, null
3493, 271, 144.2, 0.0663, no trigger, navigating, null
3510, 271, 144.2, 0.0663, no trigger, navigating, null
3526, 271, 144.2, 0.0663, no trigger, navigating, null
3542, 271, 144.2, 0.0663, no trigger, navigating, null
3560, 271, 144.2, 0.0663, no trigger, navigating, null
3577, 271, 144.2, 0.0663, no trigger, navigating, null
3594, 271, 144.2, 0.0663, no trigger, navigating, null
3611, 271, 144.2, 0.0663, no trigger, navigating, null
3627, 271, 144.2, 0.0663, no trigger, navigating, null
3644, 271, 144.2, 0.0663, no trigger, navigating, null
3661, 271, 144.2, 0.0663, no trigger, navigating, null
3677, 271, 144.2, 0.0663, no trigger, navigating, null
3693, 271, 144.2, 0.0663, no trigger, navigating, null
3710, 271, 144.2, 0.0663, no trigger, navigating, null
3727, 271, 144.2, 0.0663, no trigger, navigating, null
3745, 271, 144.2, 0.0663, no trigger, navigating, null
3762, 271, 144.2, 0.0663, no trigger, navigating, null
3779, 271, 144.2, 0.0663, no trigger, navigating, null
3795, 271, 144.2, 0.0663, no trigger, navigating, null
3812, 271, 144.2, 0.0663, no trigger, navigating, null
3829, 271, 144.2, 0.0663, no trigger, navigating, null
3846, 271, 144.2, 0.0663, no trigger, navigating, null
3863, 271, 144.2, 0.0663, no trigger, navigating, null
3879, 271, 144.2, 0.0663, no trigger, navigating, null
3896, 271, 144.2, 0.0663, no trigger, navigating, null
3912, 271, 144.2, 0.0663, no trigger, navigating, null
3928, 271, 144.2, 0.0663, no trigger, navigating, null
3945, 271, 144.2, 0.0663, no trigger, navigating, null
3961, 271, 144.2, 0.0663, no trigger, navigating, null
3978, 271, 144.2, 0.0663, no trigger, navigating, null
3995, 271, 144.2, 0.0663, no trigger, navigating, null
4011, 271, 144.2, 0.0663, no trigger, navigating, null
4028, 271, 144.2, 0.0663, no trigger, navigating, null
4044, 271, 144.2, 0.0663, no trigger, navigating, null
4061, 271, 144.2, 0.0663, no trigger, navigating, null
4079, 271, 144.2, 0.0663, no trigger, navigating, null
4096, 271, 144.2, 0.0663, no trigger, navigating, null
4113, 271, 144.2, 0.0663, no trigger, navigating, null
4130, 271, 144.2, 0.0663, right trigger, navigating, null
4147, 271.6, 143.2, 0.0665, no trigger, navigating, null
4165, 272.2, 142.2, 0.0666, no trigger, navigating, null
4182, 272.8, 141.3, 0.0668, no trigger, navigating, null
4199, 273.3, 140.3, 0.067, no trigger, navigating, null
4216, 273.9, 139.4, 0.0671, no trigger, navigating, null
4232, 274.4, 138.6, 0.0673, no trigger, navigating, null
4250, 275, 137.7, 0.0674, no trigger, navigating, null
4267, 275.6, 136.7, 0.0676, no trigger, navigating, null
4284, 276.1, 135.8, 0.0678, no trigger, navigating, null
4301, 276.1, 135.8, 0.0678, right trigger, navigating, null
