2492, 156.3, 358, 0.0272, no trigger, navigating, , undefined, 0, 0
2509, 157, 356.7, 0.0274, no trigger, navigating, , undefined, 0, 0
2526, 157.8, 355.5, 0.0276, no trigger, navigating, , undefined, 0, 0
2544, 158.6, 354.2, 0.0279, no trigger, navigating, , undefined, 0, 0
2561, 159.4, 352.9, 0.0281, no trigger, navigating, , undefined, 0, 0
2578, 160.1, 351.7, 0.0283, no trigger, navigating, , undefined, 0, 0
2596, 160.9, 350.4, 0.0285, no trigger, navigating, , undefined, 0, 0
2612, 161.6, 349.2, 0.0288, no trigger, navigating, , undefined, 0, 0
2630, 162.4, 347.9, 0.029, no trigger, navigating, , undefined, 0, 0
2648, 163.1, 346.7, 0.0292, no trigger, navigating, , undefined, 0, 0
2665, 163.9, 345.5, 0.0294, no trigger, navigating, , undefined, 0, 0
2683, 164.6, 344.2, 0.0296, no trigger, navigating, , undefined, 0, 0
2700, 165.3, 343, 0.0298, no trigger, navigating, , undefined, 0, 0
2716, 166, 341.9, 0.03, no trigger, navigating, , undefined, 0, 0
2734, 166.7, 340.7, 0.0302, no trigger, navigating, , undefined, 0, 0
2751, 167.4, 339.6, 0.0304, no trigger, navigating, , undefined, 0, 0
2768, 168.1, 338.4, 0.0306, no trigger, navigating, , undefined, 0, 0
2786, 168.8, 337.2, 0.0309, no trigger, navigating, , undefined, 0, 0
2803, 169.5, 336.1, 0.031, no trigger, navigating, , undefined, 0, 0
2821, 170.1, 335, 0.0312, no trigger, navigating, , undefined, 0, 0
2839, 170.9, 333.8, 0.0315, no trigger, navigating, , undefined, 0, 0
2856, 170.9, 333.8, 0.0315, right trigger, navigating, , undefined, 0, 0
2874, 172.2, 331.6, 0.0318, no trigger, navigating, , undefined, 0, 0
2892, 173.4, 329.5, 0.0322, no trigger, navigating, , undefined, 0, 0
2908, 174.6, 327.4, 0.0325, no trigger, navigating, , undefined, 0, 0
2927, 175.9, 325.3, 0.0329, no trigger, navigating, , undefined, 0, 0
2946, 177.2, 322.9, 0.0333, no trigger, navigating, , undefined, 0, 0
2962, 178.4, 321, 0.0336, no trigger, navigating, , undefined, 0, 0
2981, 179.7, 318.8, 0.034, no trigger, navigating, , undefined, 0, 0
2999, 180.8, 316.8, 0.0343, no trigger, navigating, , undefined, 0, 0
3016, 182, 314.7, 0.0347, no trigger, navigating, , undefined, 0, 0
3034, 183.2, 312.7, 0.035, no trigger, navigating, , undefined, 0, 0
3053, 184.4, 310.6, 0.0354, no trigger, navigating, , undefined, 0, 0
3069, 185.5, 308.7, 0.0357, no trigger, navigating, , undefined, 0, 0
3086, 186.6, 306.8, 0.036, no trigger, navigating, , undefined, 0, 0
3103, 187.7, 304.9, 0.0363, no trigger, navigating, , undefined, 0, 0
3120, 188.8, 303.1, 0.0366, no trigger, navigating, , undefined, 0, 0
3138, 189.9, 301.1, 0.0369, no trigger, navigating, , undefined, 0, 0
3155, 190.9, 299.3, 0.0372, no trigger, navigating, , undefined, 0, 0
3173, 192, 297.5, 0.0375, no trigger, navigating, , undefined, 0, 0
3190, 193.1, 295.6, 0.0378, no trigger, navigating, , undefined, 0, 0
3208, 194.2, 293.7, 0.0381, no trigger, navigating, , undefined, 0, 0
3225, 195.2, 291.9, 0.0384, no trigger, navigating, , undefined, 0, 0
3241, 196.1, 290.3, 0.0387, no trigger, navigating, , undefined, 0, 0
3258, 197.1, 288.5, 0.039, no trigger, navigating, , undefined, 0, 0
3275, 198.1, 286.9, 0.0393, no trigger, navigating, , undefined, 0, 0
3292, 199.1, 285.2, 0.0395, no trigger, navigating, , undefined, 0, 0
3308, 200, 283.5, 0.0398, no trigger, navigating, , undefined, 0, 0
3324, 200.9, 281.9, 0.0401, no trigger, navigating, , undefined, 0, 0
3341, 201.9, 280.3, 0.0403, no trigger, navigating, , undefined, 0, 0
3358, 202.8, 278.6, 0.0406, no trigger, navigating, , undefined, 0, 0
3375, 203.8, 277, 0.0409, no trigger, navigating, , undefined, 0, 0
3392, 204.7, 275.4, 0.0411, no trigger, navigating, , undefined, 0, 0
3408, 205.5, 273.9, 0.0414, no trigger, navigating, , undefined, 0, 0
3425, 206.5, 272.3, 0.0416, no trigger, navigating, , undefined, 0, 0
3442, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3459, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3476, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3493, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3510, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3526, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3543, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3560, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3577, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3594, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3611, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3627, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3644, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3661, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3677, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3694, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3710, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3727, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3745, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3762, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3779, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3795, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3812, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3830, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3846, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3863, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3879, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3896, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3912, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3929, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3945, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3961, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3978, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
3995, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4012, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4028, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4045, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4062, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4080, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4097, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4114, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4131, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4152, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4169, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4186, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4202, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4219, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4235, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4251, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4268, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4284, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4301, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4319, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4336, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
4353, 206.5, 272.3, 0.0416, no trigger, tagging, , undefined, 0, 0
